trial_id,tf,entry,filt,spacing,kmax,tp,stop,conv,cum,ann,sharpe,mdd,calmar,req_cum,is_cum,is_sharpe,is_mdd,oos_cum,oos_sharpe,oos_mdd,n_trades,n_wins,n_B,n_A,n_Ap,heat_blocked,time_viol,win_rate
CT|e=E1|f=0|sp=1.5|k=2|tp=A1.0|sl=-|cv=gateA|1h,1h,E1,0,1.5,2,A1.0,,gateA,0.022912783909902812,0.004029884842595033,0.08976485583872154,-0.2057573121369487,0.01958562153024631,0.021973146076028183,0.07832755535607427,0.25547499042442345,-0.2057573121369487,-0.051389553360595364,-0.26809744381954903,-0.14707791037860907,278,275,0,156,122,0,0,0.9892086330935251
CT|e=E1|f=0|sp=1.5|k=2|tp=A1.0|sl=6|cv=gateA|1h,1h,E1,0,1.5,2,A1.0,6.0,gateA,-0.2397478233752618,-0.04749664772875495,-1.0261206782669725,-0.26002900739539747,-0.1826590356380203,-0.22218812804827714,-0.1564264316430929,-0.8393963059364363,-0.1688772346252857,-0.09877193271294737,-1.6358352802492564,-0.11548751893817433,1472,1263,0,899,573,0,0,0.858016304347826
CT|e=E1|f=0|sp=1.5|k=2|tp=A1.0|sl=10|cv=gateA|1h,1h,E1,0,1.5,2,A1.0,10.0,gateA,-0.21146928991966119,-0.04130095997007177,-0.6508269287849073,-0.2304857536892584,-0.17919094481541734,-0.2185193743993742,-0.12410926143786505,-0.4737009163942501,-0.17890773312946717,-0.09973850006132778,-1.2090512571794847,-0.12087520621950998,1304,1187,0,769,535,0,0,0.9102760736196319
CT|e=E1|f=0|sp=1.5|k=2|tp=A2.0|sl=-|cv=gateA|1h,1h,E1,0,1.5,2,A2.0,,gateA,-0.018788432930161525,-0.0033615648533634745,0.013324251073146581,-0.20806461584845493,-0.01615635046668334,-0.025877696384655313,0.01851407831860885,0.09594725318060894,-0.20806461584845493,-0.03662444343464666,-0.16831624463051006,-0.15698676650157894,114,111,0,61,53,0,0,0.9736842105263158
CT|e=E1|f=0|sp=1.5|k=2|tp=A2.0|sl=6|cv=gateA|1h,1h,E1,0,1.5,2,A2.0,6.0,gateA,-0.23200201068845805,-0.04578097930965053,-0.7862888965732036,-0.2576991974735676,-0.17765278184207894,-0.21649029309894385,-0.13722707168730042,-0.5676889592134712,-0.18655183221549798,-0.10984922670963448,-1.5373631874905351,-0.1262152793442609,1123,866,0,685,438,0,0,0.7711487088156723
CT|e=E1|f=0|sp=1.5|k=2|tp=A2.0|sl=10|cv=gateA|1h,1h,E1,0,1.5,2,A2.0,10.0,gateA,-0.184337696573453,-0.03552602766112245,-0.4572768377759317,-0.21271674655078132,-0.1670109581740966,-0.20612625860483624,-0.09228976700865288,-0.2683531262277311,-0.20506732099170077,-0.10140673335967298,-1.105587856680687,-0.12291244685351921,933,794,0,540,393,0,0,0.8510182207931404
CT|e=E1|f=0|sp=1.5|k=3|tp=MID|sl=-|cv=gateA|1h,1h,E1,0,1.5,3,MID,,gateA,-0.12609170777985224,-0.02364336484887042,-0.5916795330175546,-0.13792007026430553,-0.1714280220678618,-0.2125603192785095,-0.06780885369708145,-0.38684145478848503,-0.09430000895545154,-0.0625224282744169,-1.4256924608206223,-0.06956155938797925,1562,1139,0,947,615,0,0,0.7291933418693982
CT|e=E1|f=0|sp=1.5|k=3|tp=MID|sl=6|cv=gateA|1h,1h,E1,0,1.5,3,MID,6.0,gateA,-0.22440045188040347,-0.04411104397128063,-1.1263604373072156,-0.22936741423860374,-0.19231608865500524,-0.23261626635915644,-0.15292818687088228,-0.9447665015291928,-0.1716861861959854,-0.08437568562870734,-1.8663242663157806,-0.09056813891658344,1626,1168,0,992,634,0,0,0.7183271832718328
CT|e=E1|f=0|sp=1.5|k=3|tp=MID|sl=10|cv=gateA|1h,1h,E1,0,1.5,3,MID,10.0,gateA,-0.19344180501212271,-0.037445976831509076,-0.8627349498788979,-0.20278715877062914,-0.18465654856313612,-0.22453062750916075,-0.11363023581041454,-0.6483135547605183,-0.12014764762632224,-0.0900431991547912,-1.4864488622846246,-0.09618861139723023,1580,1150,0,960,620,0,0,0.7278481012658228
CT|e=E1|f=0|sp=1.5|k=3|tp=A0.5|sl=-|cv=gateA|1h,1h,E1,0,1.5,3,A0.5,,gateA,0.03072313719190367,0.005386600913493522,0.10411652756228357,-0.270422702525443,0.01991918897041094,0.03094377950746785,0.10033309700776893,0.27415502358206023,-0.270422702525443,-0.06326262474987177,-0.2604877425998299,-0.17722538763900697,537,533,0,321,216,0,0,0.9925512104283054
CT|e=E1|f=0|sp=1.5|k=3|tp=A0.5|sl=6|cv=gateA|1h,1h,E1,0,1.5,3,A0.5,6.0,gateA,-0.2738743013237186,-0.05523120650645197,-1.3616563989918342,-0.28244625042417837,-0.19554590094046434,-0.23658536080899628,-0.1601620158450775,-1.0193057096959814,-0.174186615665197,-0.13539788342993675,-2.269298039390236,-0.145843872321739,1679,1522,0,1026,653,0,0,0.9064919594997022
