rule_id,family,params,exit_code,direction,tf,sharpe_ann,sharpe_daily,n_trades,cum_return,mdd,cost_usd,funding_usd,halt_days,is_sharpe_ann,oos_sharpe_ann
"R-C|n=2,t=5,filt=1|X3|L|1h",R-C,"n=2,t=5,filt=1",X3,L,1h,-0.4992525917623604,-0.02613207499435853,1834,-0.5568537447822908,0.6122027787003834,2657.170940214669,-405.21723325268727,22,-0.5648703001715162,-0.3420813462519686
"R-C|n=2,t=5,filt=1|X3|S|1h",R-C,"n=2,t=5,filt=1",X3,S,1h,-0.5916616024138515,-0.03096898367814696,2020,-0.6365068571419851,0.7578037902716028,3702.7003727709075,-3.2344055374330125,30,-0.7948486861428044,-0.1776949318538366
"R-C|n=2,t=5,filt=1|X3|LS|1h",R-C,"n=2,t=5,filt=1",X3,LS,1h,-0.6868100909398879,-0.03594928318742975,3562,-0.761696375077733,0.8161104546285087,4207.107126760275,-181.58120832835064,45,-0.9643823392380116,-0.07761340415444488
"R-C|n=2,t=5,filt=1|X4|L|1h",R-C,"n=2,t=5,filt=1",X4,L,1h,-0.9291722141309586,-0.04863509650822604,2448,-0.35576861916198943,0.3675992208269514,5025.0645040537165,-106.31144796006848,2,-0.7483621051513875,-1.3595790929269462
"R-C|n=2,t=5,filt=1|X4|S|1h",R-C,"n=2,t=5,filt=1",X4,S,1h,-0.964649826763014,-0.05049207962502669,2688,-0.391356832434123,0.4636443359097894,6123.806775278173,-43.44801736157176,2,-0.4838791403214183,-1.8537865280953862
"R-C|n=2,t=5,filt=1|X4|LS|1h",R-C,"n=2,t=5,filt=1",X4,LS,1h,-1.359351633407607,-0.07115171641376239,5134,-0.6102175936474821,0.6322379044335171,9007.445930256667,-126.9460845837581,4,-0.8904342126371136,-2.322314024913475
"R-C|n=2,t=10,filt=0|X1|L|1h",R-C,"n=2,t=10,filt=0",X1,L,1h,-2.068638812651923,-0.10827750417406319,12712,-0.9522252902496566,0.9579691614151575,8153.406794389714,-111.59878045403389,48,-1.9944227731259838,-2.2037520711875103
"R-C|n=2,t=10,filt=0|X1|S|1h",R-C,"n=2,t=10,filt=0",X1,S,1h,-2.161548262917952,-0.11314060706445772,12738,-0.9483218937554844,0.953735445574178,13567.883369713969,61.01085124639722,27,-1.6827751908729158,-3.134242763326801
"R-C|n=2,t=10,filt=0|X1|LS|1h",R-C,"n=2,t=10,filt=0",X1,LS,1h,-3.1412009032251347,-0.16441796984100224,25106,-0.9975342610475855,0.9975756830260852,10003.83570948847,-29.8605751680667,69,-2.750631149359334,-3.924129306477002
"R-C|n=2,t=10,filt=0|X2|L|1h",R-C,"n=2,t=10,filt=0",X2,L,1h,-2.4874239655205446,-0.1301977209177668,13108,-0.966270173331911,0.9669237727989398,7468.314581901965,-82.39176372137521,43,-2.435666071267744,-2.581364288648828
"R-C|n=2,t=10,filt=0|X2|S|1h",R-C,"n=2,t=10,filt=0",X2,S,1h,-2.247281246874498,-0.11762807654024761,13166,-0.9429417304961811,0.948315859014514,15231.977701763966,45.924474692548955,21,-1.669861327428142,-3.4069827022457964
"R-C|n=2,t=10,filt=0|X2|LS|1h",R-C,"n=2,t=10,filt=0",X2,LS,1h,-3.570180012405659,-0.1868717626446548,26026,-0.9982466345830465,0.9982548186401652,9695.428720330505,-23.670102471508724,58,-3.136781134816131,-4.425093848617285
"R-C|n=2,t=10,filt=0|X3|L|1h",R-C,"n=2,t=10,filt=0",X3,L,1h,-0.6617036644012175,-0.03463515276132036,7608,-0.844585535861972,0.8730786657929596,7534.33194845475,-475.82041377346076,100,-0.4368668076760339,-1.157052985819664
"R-C|n=2,t=10,filt=0|X3|S|1h",R-C,"n=2,t=10,filt=0",X3,S,1h,-1.0285816256563278,-0.053838422920525396,7602,-0.9249615292497497,0.9544278851055512,10151.102640898824,167.83885631726747,89,-1.0342581462589517,-1.0217506853941138
"R-C|n=2,t=10,filt=0|X3|LS|1h",R-C,"n=2,t=10,filt=0",X3,LS,1h,-1.3803098578911535,-0.0722487200207328,11904,-0.9818431169698788,0.9879683555099323,8895.333919402303,-97.24645909273127,133,-1.2059556174418022,-1.7666682274765562
"R-C|n=2,t=10,filt=0|X4|L|1h",R-C,"n=2,t=10,filt=0",X4,L,1h,-2.068638812651923,-0.10827750417406319,12712,-0.9522252902496566,0.9579691614151575,8153.406794389714,-111.59878045403389,48,-1.9944227731259838,-2.2037520711875103
